目标词|左分词|右分词|左分词词义集合|右分词词义集合|左分词词义以及词义代码|左分词词义|左分词单层|左分词三层|右分词词义以及词义代码|右分词词义|右分词单层|右分词三层
表面|null|上|null|上来_下去(Hj62) 出_进_出入(Hj64) 前进_后退_追赶(Hj67) 上等_中等_下等(Ed06) 御_禅(Ed57) 半_概数_若干(Dn05) 捆_拴_扣_打结_绞_绕(Fa17) 涂_贴(Fa20) 沾光_上当_吃亏(If02) 增多_添补_减少(Ih05) 时候_时机_关头(Ca04) 上_下_左_右(Cb03) 学习_从师_模仿(Hg08) 演出_排演_扮演(Hh01) 交_取_借_归还_交换(Hi27) 登载(Jd03) 取得_达到_挽回(Je12) 皇帝_后妃(Af05) 来_去_来去(Hj63)|null|null|null|null|上_下_左_右(Cb03)|上_下_左_右|C|Cb03
表面|null|看来|null|感到_认为_主张(Gb02) 看(Fc04)|null|null|null|null|感到_认为_主张(Gb02)|感到_认为_主张|G|Gb02
表面|在|null|从事_参加_脱离(Hj19) 已经_方才_正在(Ka12) 向_背_在(Kb01) 活_死(Ib03) 起源_取决(Ja05) 无关(Jd01) 处于_在于_陷于_适逢(Jd02)|null|向_背_在(Kb01)|向_背_在|K|Kb01|null|null|null|null
表面|这种|看|null|拘留_囚禁(Hm04) 看(Fc04) 感到_认为_主张(Gb02) 阅读_查阅_朗读_吟咏_背诵(Hg10) 医治_打针_开刀(Hg20) 访问_进见_探望(Hi02) 照顾_服侍_护理_保护(Hi37)|null|null|null|null|看(Fc04)|看|F|Fc04
表面|从|上|从事_参加_脱离(Hj19) 携带_跟随(Hj36) 重要_次要_不足道(Ed28) 胞_堂_表_姻(Ed58) 经常_向来_本来(Ka10) 从_到_沿(Kb02) 遵守_听从_违背_抗拒(Hi39)|上来_下去(Hj62) 出_进_出入(Hj64) 前进_后退_追赶(Hj67) 上等_中等_下等(Ed06) 御_禅(Ed57) 半_概数_若干(Dn05) 捆_拴_扣_打结_绞_绕(Fa17) 涂_贴(Fa20) 沾光_上当_吃亏(If02) 增多_添补_减少(Ih05) 时候_时机_关头(Ca04) 上_下_左_右(Cb03) 学习_从师_模仿(Hg08) 演出_排演_扮演(Hh01) 交_取_借_归还_交换(Hi27) 登载(Jd03) 取得_达到_挽回(Je12) 皇帝_后妃(Af05) 来_去_来去(Hj63)|从_到_沿(Kb02)|从_到_沿|K|Kb02|上_下_左_右(Cb03)|上_下_左_右|C|Cb03
表面|null|上|null|上来_下去(Hj62) 出_进_出入(Hj64) 前进_后退_追赶(Hj67) 上等_中等_下等(Ed06) 御_禅(Ed57) 半_概数_若干(Dn05) 捆_拴_扣_打结_绞_绕(Fa17) 涂_贴(Fa20) 沾光_上当_吃亏(If02) 增多_添补_减少(Ih05) 时候_时机_关头(Ca04) 上_下_左_右(Cb03) 学习_从师_模仿(Hg08) 演出_排演_扮演(Hh01) 交_取_借_归还_交换(Hi27) 登载(Jd03) 取得_达到_挽回(Je12) 皇帝_后妃(Af05) 来_去_来去(Hj63)|null|null|null|null|上_下_左_右(Cb03)|上_下_左_右|C|Cb03
表面|汇率|看|比率_比例_比重(Dn07)|拘留_囚禁(Hm04) 看(Fc04) 感到_认为_主张(Gb02) 阅读_查阅_朗读_吟咏_背诵(Hg10) 医治_打针_开刀(Hg20) 访问_进见_探望(Hi02) 照顾_服侍_护理_保护(Hi37)|比率_比例_比重(Dn07)|比率_比例_比重|D|Dn07|看(Fc04)|看|F|Fc04
表面|null|上|null|上来_下去(Hj62) 出_进_出入(Hj64) 前进_后退_追赶(Hj67) 上等_中等_下等(Ed06) 御_禅(Ed57) 半_概数_若干(Dn05) 捆_拴_扣_打结_绞_绕(Fa17) 涂_贴(Fa20) 沾光_上当_吃亏(If02) 增多_添补_减少(Ih05) 时候_时机_关头(Ca04) 上_下_左_右(Cb03) 学习_从师_模仿(Hg08) 演出_排演_扮演(Hh01) 交_取_借_归还_交换(Hi27) 登载(Jd03) 取得_达到_挽回(Je12) 皇帝_后妃(Af05) 来_去_来去(Hj63)|null|null|null|null|上_下_左_右(Cb03)|上_下_左_右|C|Cb03
表面|费用|上|帐目_款项_费用(Dj08)|上来_下去(Hj62) 出_进_出入(Hj64) 前进_后退_追赶(Hj67) 上等_中等_下等(Ed06) 御_禅(Ed57) 半_概数_若干(Dn05) 捆_拴_扣_打结_绞_绕(Fa17) 涂_贴(Fa20) 沾光_上当_吃亏(If02) 增多_添补_减少(Ih05) 时候_时机_关头(Ca04) 上_下_左_右(Cb03) 学习_从师_模仿(Hg08) 演出_排演_扮演(Hh01) 交_取_借_归还_交换(Hi27) 登载(Jd03) 取得_达到_挽回(Je12) 皇帝_后妃(Af05) 来_去_来去(Hj63)|帐目_款项_费用(Dj08)|帐目_款项_费用|D|Dj08|上_下_左_右(Cb03)|上_下_左_右|C|Cb03
表面|null|上|null|上来_下去(Hj62) 出_进_出入(Hj64) 前进_后退_追赶(Hj67) 上等_中等_下等(Ed06) 御_禅(Ed57) 半_概数_若干(Dn05) 捆_拴_扣_打结_绞_绕(Fa17) 涂_贴(Fa20) 沾光_上当_吃亏(If02) 增多_添补_减少(Ih05) 时候_时机_关头(Ca04) 上_下_左_右(Cb03) 学习_从师_模仿(Hg08) 演出_排演_扮演(Hh01) 交_取_借_归还_交换(Hi27) 登载(Jd03) 取得_达到_挽回(Je12) 皇帝_后妃(Af05) 来_去_来去(Hj63)|null|null|null|null|上_下_左_右(Cb03)|上_下_左_右|C|Cb03
