目标词|左分词|右分词|左分词词义集合|右分词词义集合|左分词词义以及词义代码|左分词词义|左分词单层|左分词三层|右分词词义以及词义代码|右分词词义|右分词单层|右分词三层
儿女|中华|的|国家_行政区划(Di02)|真实_虚假_确实_虚妄(Ed01) 的_然_所(Kd01) 弓_箭_矛_盾_剑(Bo29)|国家_行政区划(Di02)|国家_行政区划|D|Di02|的_然_所(Kd01)|的_然_所|K|Kd01
儿女|燕赵|自力更生|null|独立_依附_随大溜_混日子(Hj05)|null|null|null|null|独立_依附_随大溜_混日子(Hj05)|独立_依附_随大溜_混日子|H|Hj05
儿女|回族|积极|人种_民族(Di04)|积极_消极(Ee23)|人种_民族(Di04)|人种_民族|D|Di04|积极_消极(Ee23)|积极_消极|E|Ee23
儿女|中华|爱国主义|国家_行政区划(Di02)|政治_政体_专政(Di08)|国家_行政区划(Di02)|国家_行政区划|D|Di02|政治_政体_专政(Di08)|政治_政体_专政|D|Di08
儿女|优秀|奔赴|好_坏(Ed03)|来_去_来去(Hj63)|好_坏(Ed03)|好_坏|E|Ed03|来_去_来去(Hj63)|来_去_来去|H|Hj63
儿女|华夏|null|国家_行政区划(Di02)|null|国家_行政区划(Di02)|国家_行政区划|D|Di02|null|null|null|null
儿女|祖国|的|国家_行政区划(Di02)|真实_虚假_确实_虚妄(Ed01) 的_然_所(Kd01) 弓_箭_矛_盾_剑(Bo29)|国家_行政区划(Di02)|国家_行政区划|D|Di02|的_然_所(Kd01)|的_然_所|K|Kd01
儿女|华夏|的|国家_行政区划(Di02)|真实_虚假_确实_虚妄(Ed01) 的_然_所(Kd01) 弓_箭_矛_盾_剑(Bo29)|国家_行政区划(Di02)|国家_行政区划|D|Di02|的_然_所(Kd01)|的_然_所|K|Kd01
儿女|中华|》|国家_行政区划(Di02)|null|国家_行政区划(Di02)|国家_行政区划|D|Di02|null|null|null|null
儿女|优秀|银质奖|好_坏(Ed03)|图章_微章(Bp21)|好_坏(Ed03)|好_坏|E|Ed03|图章_微章(Bp21)|图章_微章|B|Bp21
儿女|华夏|的|国家_行政区划(Di02)|真实_虚假_确实_虚妄(Ed01) 的_然_所(Kd01) 弓_箭_矛_盾_剑(Bo29)|国家_行政区划(Di02)|国家_行政区划|D|Di02|的_然_所(Kd01)|的_然_所|K|Kd01
儿女|黄河|具体|海洋_江河_溪涧(Be05)|实际_空洞(Ed10)|海洋_江河_溪涧(Be05)|海洋_江河_溪涧|B|Be05|实际_空洞(Ed10)|实际_空洞|E|Ed10
儿女|中华|null|国家_行政区划(Di02)|null|国家_行政区划(Di02)|国家_行政区划|D|Di02|null|null|null|null
儿女|各族|共同|数量(Dn03)|共同_分头_独自_互相_从中(Ka23)|数量(Dn03)|数量|D|Dn03|共同_分头_独自_互相_从中(Ka23)|共同_分头_独自_互相_从中|K|Ka23
儿女|军人|待|军官_将士_军人_士兵(Ae10)|停留_迁移(Hj02) 计划_打算(Gb05) 等候_驱逐_收留_挽留(Hi07) 招呼_招待_对待(Hi08) 需要_提供_满足(Jc05)|军官_将士_军人_士兵(Ae10)|军官_将士_军人_士兵|A|Ae10|招呼_招待_对待(Hi08)|招呼_招待_对待|H|Hi08
儿女|壮乡|载歌载舞|null|热闹_拥挤(Ef03) 唱歌_跳舞_演奏(Hh04)|null|null|null|null|热闹_拥挤(Ef03)|热闹_拥挤|E|Ef03
儿女|天山|迎|山_坡(Be04)|向_背_在(Kb01) 迎接_会面_陪伴(Hi05)|山_坡(Be04)|山_坡|B|Be04|迎接_会面_陪伴(Hi05)|迎接_会面_陪伴|H|Hi05
儿女|华夏|欢聚一堂|国家_行政区划(Di02)|集合_分散(Ie10) 团聚_离别(Ie09)|国家_行政区划(Di02)|国家_行政区划|D|Di02|集合_分散(Ie10)|集合_分散|I|Ie10
儿女|华夏|都|国家_行政区划(Di02)|首都_省会(Di03) 都_只_不止_甚至(Ka07) 已经_方才_正在(Ka12) 仍然_尚且(Ka28) 城市_集镇_乡村(Cb25)|国家_行政区划(Di02)|国家_行政区划|D|Di02|都_只_不止_甚至(Ka07)|都_只_不止_甚至|K|Ka07
儿女|尧乡|绘|null|绘画_制图_雕刻(Hg19)|null|null|null|null|绘画_制图_雕刻(Hg19)|绘画_制图_雕刻|H|Hg19
儿女|江河|心声|海洋_江河_溪涧(Be05)|话(Dk11)|海洋_江河_溪涧(Be05)|海洋_江河_溪涧|B|Be05|话(Dk11)|话|D|Dk11
儿女|一代代|null|null|null|null|null|null|null|null|null|null|null
儿女|中华|守|国家_行政区划(Di02)|交界_靠近_逼近_相距(Id21) 保卫_防守_警卫_驻扎(Hb04) 遵守_听从_违背_抗拒(Hi39)|国家_行政区划(Di02)|国家_行政区划|D|Di02|保卫_防守_警卫_驻扎(Hb04)|保卫_防守_警卫_驻扎|H|Hb04
儿女|华夏|对|国家_行政区划(Di02)|单_双_全部_部分(Eb02) 正确_准确_错误(Ed12) 资料_文件(Dk17) 向_背_在(Kb01) 对于_关于(Kb04) 依照_根据_趁(Kb07) 搅拌_搀和_掭(Fa26) 数量单位(Dn08) 调查_审查_检查(Hc18) 招呼_招待_对待(Hi08) 问_答_对质(Hi18) 相投_巧合(Jc02) 看(Fc04)|国家_行政区划(Di02)|国家_行政区划|D|Di02|对于_关于(Kb04)|对于_关于|K|Kb04
儿女|中华|的|国家_行政区划(Di02)|真实_虚假_确实_虚妄(Ed01) 的_然_所(Kd01) 弓_箭_矛_盾_剑(Bo29)|国家_行政区划(Di02)|国家_行政区划|D|Di02|的_然_所(Kd01)|的_然_所|K|Kd01
儿女|中华|的|国家_行政区划(Di02)|真实_虚假_确实_虚妄(Ed01) 的_然_所(Kd01) 弓_箭_矛_盾_剑(Bo29)|国家_行政区划(Di02)|国家_行政区划|D|Di02|的_然_所(Kd01)|的_然_所|K|Kd01
儿女|中华|的|国家_行政区划(Di02)|真实_虚假_确实_虚妄(Ed01) 的_然_所(Kd01) 弓_箭_矛_盾_剑(Bo29)|国家_行政区划(Di02)|国家_行政区划|D|Di02|的_然_所(Kd01)|的_然_所|K|Kd01
儿女|赤诚|的|诚实_刁滑_势利_真诚_虚伪(Ee05)|真实_虚假_确实_虚妄(Ed01) 的_然_所(Kd01) 弓_箭_矛_盾_剑(Bo29)|诚实_刁滑_势利_真诚_虚伪(Ee05)|诚实_刁滑_势利_真诚_虚伪|E|Ee05|的_然_所(Kd01)|的_然_所|K|Kd01
儿女|炎黄|情感|国家_行政区划(Di02)|感觉_感情(Df04)|国家_行政区划(Di02)|国家_行政区划|D|Di02|感觉_感情(Df04)|感觉_感情|D|Df04
儿女|中华|的|国家_行政区划(Di02)|真实_虚假_确实_虚妄(Ed01) 的_然_所(Kd01) 弓_箭_矛_盾_剑(Bo29)|国家_行政区划(Di02)|国家_行政区划|D|Di02|的_然_所(Kd01)|的_然_所|K|Kd01
