目标词|左分词|右分词|左分词词义集合|右分词词义集合|左分词词义以及词义代码|左分词词义|左分词单层|左分词三层|右分词词义以及词义代码|右分词词义|右分词单层|右分词三层
望|null|着|null|下落_踪迹(Da23) 已经_方才_正在(Ka12) 穿_戴_佩带(Fa18) 燃烧_焦(Ia09) 醒_入睡_失眠(Ib04) 撞_触_相遇_错过(Id18) 派遣_支使(Hc04) 遭受_享受(Je13) 削弱(Ih06) 数量单位(Dn08)|null|null|null|null|下落_踪迹(Da23)|下落_踪迹|D|Da23
望|放眼|去|看(Fc04)|来_去_来去(Hj63) 交界_靠近_逼近_相距(Id21) 离开_返回(Hf07) 润色_修改_修订(Hg18) 演出_排演_扮演(Hh01) 消失_恢复(Jd08) 过去_近来(Ca11)|看(Fc04)|看|F|Fc04|来_去_来去(Hj63)|来_去_来去|H|Hj63
望|放眼|null|看(Fc04)|null|看(Fc04)|看|F|Fc04|null|null|null|null
望|也|不|却_还_也_反而(Ka33) 啊_呢_喽(Kd03)|快_慢(Eb23) 重要_次要_不足道(Ed28) 有为_不成材(Ee19) 民主_专制_讲理_蛮横(Ee38) 不_没(Ka18) 传导_传播_流行(Ie01)|却_还_也_反而(Ka33)|却_还_也_反而|K|Ka33|不_没(Ka18)|不_没|K|Ka18
望|null|着|null|下落_踪迹(Da23) 已经_方才_正在(Ka12) 穿_戴_佩带(Fa18) 燃烧_焦(Ia09) 醒_入睡_失眠(Ib04) 撞_触_相遇_错过(Id18) 派遣_支使(Hc04) 遭受_享受(Je13) 削弱(Ih06) 数量单位(Dn08)|null|null|null|null|下落_踪迹(Da23)|下落_踪迹|D|Da23
望|相|null|观察_比较_区分(Hj26) 形状_状态_式样_装饰(Dc01) 容貌_姿势_步伐_装束(Dc03) 共同_分头_独自_互相_从中(Ka23) 看(Fc04) 照片_像(Dk32)|null|共同_分头_独自_互相_从中(Ka23)|共同_分头_独自_互相_从中|K|Ka23|null|null|null|null
望|远远|去|远_近(Eb21)|来_去_来去(Hj63) 交界_靠近_逼近_相距(Id21) 离开_返回(Hf07) 润色_修改_修订(Hg18) 演出_排演_扮演(Hh01) 消失_恢复(Jd08) 过去_近来(Ca11)|远_近(Eb21)|远_近|E|Eb21|来_去_来去(Hj63)|来_去_来去|H|Hj63
望|先生|山|男人_女人_男女(Ab01) 职工_职员(Ae01) 教师_学生(Ae13) 医生_助产士_护士(Ae15) 夫_妻_夫妻(Ah08) 知识分子_文盲(Al01)|蚕箔_蚕簇(Bo07) 山_坡(Be04)|男人_女人_男女(Ab01)|男人_女人_男女|A|Ab01|山_坡(Be04)|山_坡|B|Be04
望|夜|水中|安静_荒凉(Ef04) 傍晚_晚上_夜间_昼夜(Ca29)|内_外(Cb05)|傍晚_晚上_夜间_昼夜(Ca29)|傍晚_晚上_夜间_昼夜|C|Ca29|内_外(Cb05)|内_外|C|Cb05
望|北|中原|胜利_战败_被围_沦陷_亡国(If21) 东南西北(Cb02)|地方_地点(Cb08)|东南西北(Cb02)|东南西北|C|Cb02|地方_地点(Cb08)|地方_地点|C|Cb08
