目标词|左分词|右分词|左分词词义集合|右分词词义集合|左分词词义以及词义代码|左分词词义|左分词单层|左分词三层|右分词词义以及词义代码|右分词词义|右分词单层|右分词三层
牌子|的|null|真实_虚假_确实_虚妄(Ed01) 的_然_所(Kd01) 弓_箭_矛_盾_剑(Bo29)|null|的_然_所(Kd01)|的_然_所|K|Kd01|null|null|null|null
牌子|块|一|趼子_痣_癍_疣(Dl04) 数量单位(Dn08) －锭_－块(Bb01) 帐目_款项_费用(Dj08) 货币_票据(Dj05)|单_双_全部_部分(Eb02) 勇敢_怯懦(Ee13) 富裕_小康_贫穷(Ef14) 基数_序数(Dn04) 更加(Ka04) 相同_相等_差不多(Jb01) 如果_那末(Kc08) 突然_偶然(Ka16)|－锭_－块(Bb01)|－锭_－块|B|Bb01|单_双_全部_部分(Eb02)|单_双_全部_部分|E|Eb02
牌子|了|null|完全_彻底_半半拉拉(Ka06) 来着_过(Kd02) 啊_呢_喽(Kd03) 吗_的话_罢了_了_哉(Kd05) 开始_结束(Ig01)|null|吗_的话_罢了_了_哉(Kd05)|吗_的话_罢了_了_哉|K|Kd05|null|null|null|null
牌子|的|null|真实_虚假_确实_虚妄(Ed01) 的_然_所(Kd01) 弓_箭_矛_盾_剑(Bo29)|null|的_然_所(Kd01)|的_然_所|K|Kd01|null|null|null|null
牌子|的|null|真实_虚假_确实_虚妄(Ed01) 的_然_所(Kd01) 弓_箭_矛_盾_剑(Bo29)|null|的_然_所(Kd01)|的_然_所|K|Kd01|null|null|null|null
牌子|倒|的|却_还_也_反而(Ka33) 浇_洒_沏_斟(Fa24) 翻_扇_撒(Fa30) 哑_聋_瞎_口吃(Ib19) 耸立_停放_悬挂_颠倒(Id07) 移动_动弹_跳动_摇摆_颤动(Id14) 成功_失败_垮台_落空(If22) 买_卖(He03)|真实_虚假_确实_虚妄(Ed01) 的_然_所(Kd01) 弓_箭_矛_盾_剑(Bo29)|耸立_停放_悬挂_颠倒(Id07)|耸立_停放_悬挂_颠倒|I|Id07|的_然_所(Kd01)|的_然_所|K|Kd01
牌子|倒|的|却_还_也_反而(Ka33) 浇_洒_沏_斟(Fa24) 翻_扇_撒(Fa30) 哑_聋_瞎_口吃(Ib19) 耸立_停放_悬挂_颠倒(Id07) 移动_动弹_跳动_摇摆_颤动(Id14) 成功_失败_垮台_落空(If22) 买_卖(He03)|真实_虚假_确实_虚妄(Ed01) 的_然_所(Kd01) 弓_箭_矛_盾_剑(Bo29)|耸立_停放_悬挂_颠倒(Id07)|耸立_停放_悬挂_颠倒|I|Id07|的_然_所(Kd01)|的_然_所|K|Kd01
牌子|null|焉|null|哪里_怎样_为什么(Ka35)|null|null|null|null|哪里_怎样_为什么(Ka35)|哪里_怎样_为什么|K|Ka35
牌子|块|null|趼子_痣_癍_疣(Dl04) 数量单位(Dn08) －锭_－块(Bb01) 帐目_款项_费用(Dj08) 货币_票据(Dj05)|null|－锭_－块(Bb01)|－锭_－块|B|Bb01|null|null|null|null
牌子|的|能|真实_虚假_确实_虚妄(Ed01) 的_然_所(Kd01) 弓_箭_矛_盾_剑(Bo29)|能干_无能(Ee17) 力气_力量_能量(Dd14) 智慧_才能_能力_功夫(De04) 能够_不能_可以_不可(Gc02)|的_然_所(Kd01)|的_然_所|K|Kd01|能干_无能(Ee17)|能干_无能|E|Ee17
