目标词|目标词词性|左1分词|左1分词词性|左1分词词义及词义代码|左1分词词义及词义|左1分词词义代码|右1分词|右1分词词性|右1分词词义及词义代码|右1分词词义及词义|右1分词词义代码|左1分词|左1分词词性|左1分词词义及词义代码|左1分词词义及词义|左1分词词义代码|右1分词|右1分词词性|右1分词词义及词义代码|右1分词词义及词义|右1分词词义代码
儿女|ng|中华|nz|国家_行政区划(Di02)|国家_行政区划|Di02|的|u|的_然_所(Kd01)|的_然_所|Kd01|的|u|的_然_所(Kd01)|的_然_所|Kd01|共同|b|共同_分头_独自_互相_从中(Ka23)|共同_分头_独自_互相_从中|Ka23
儿女|ng|燕赵|ns|null|null|null|自力更生|i|独立_依附_随大溜_混日子(Hj05)|独立_依附_随大溜_混日子|Hj05|了|u|吗_的话_罢了_了_哉(Kd05)|吗_的话_罢了_了_哉|Kd05|、|w|null|null|null
儿女|ng|回族|nz|人种_民族(Di04)|人种_民族|Di04|积极|ad|积极_消极(Ee23)|积极_消极|Ee23|冀中|ns|null|null|null|响应|v|号召_响应(Hc13)|号召_响应|Hc13
儿女|ng|中华|nz|国家_行政区划(Di02)|国家_行政区划|Di02|爱国主义|n|政治_政体_专政(Di08)|政治_政体_专政|Di08|出|v|出_进_出入(Hj64)|出_进_出入|Hj64|和|c|调解_屈服_降伏_讲和(Hi45)|调解_屈服_降伏_讲和|Hi45
儿女|ng|优秀|a|好_坏(Ed03)|好_坏|Ed03|奔赴|v|来_去_来去(Hj63)|来_去_来去|Hj63|多少|r|数量(Dn03)|数量|Dn03|这里|r|这里_那里_哪里(Cb30)|这里_那里_哪里|Cb30
儿女|ng|华夏|nz|国家_行政区划(Di02)|国家_行政区划|Di02|，|w|null|null|null|12亿|m|null|null|null|满怀信心|l|相信_信仰_怀疑_信任(Gb14)|相信_信仰_怀疑_信任|Gb14
儿女|ng|祖国|n|国家_行政区划(Di02)|国家_行政区划|Di02|的|u|的_然_所(Kd01)|的_然_所|Kd01|众多|m|多_少_稀少(Eb01)|多_少_稀少|Eb01|付出|vn|征收_交纳_支付(He10)|征收_交纳_支付|He10
儿女|ng|华夏|nz|国家_行政区划(Di02)|国家_行政区划|Di02|的|u|的_然_所(Kd01)|的_然_所|Kd01|用|p|使用_沿用_借鉴(Hj28)|使用_沿用_借鉴|Hj28|脊梁|n|边_角_面_脊(Bc02)|边_角_面_脊|Bc02
儿女|ng|中华|nz|国家_行政区划(Di02)|国家_行政区划|Di02|》|w|null|null|null|《|w|null|null|null|杂志|n|报章_杂志_报刊(Dk21)|报章_杂志_报刊|Dk21
儿女|ng|优秀|a|好_坏(Ed03)|好_坏|Ed03|银质奖|n|图章_微章(Bp21)|图章_微章|Bp21|边陲|s|远方_僻壤_内地(Cb11)|远方_僻壤_内地|Cb11|；|w|null|null|null
儿女|ng|华夏|nz|国家_行政区划(Di02)|国家_行政区划|Di02|的|u|的_然_所(Kd01)|的_然_所|Kd01|所有|b|单_双_全部_部分(Eb02)|单_双_全部_部分|Eb02|共同|b|共同_分头_独自_互相_从中(Ka23)|共同_分头_独自_互相_从中|Ka23
儿女|ng|黄河|ns|海洋_江河_溪涧(Be05)|海洋_江河_溪涧|Be05|具体|a|实际_空洞(Ed10)|实际_空洞|Ed10|一个个|m|null|null|null|又|d|半_概数_若干(Dn05)|半_概数_若干|Dn05
儿女|ng|中华|nz|国家_行政区划(Di02)|国家_行政区划|Di02|，|w|null|null|null|十二亿|m|null|null|null|奋袂|v|null|null|null
儿女|ng|各族|r|数量(Dn03)|数量|Dn03|共同|d|共同_分头_独自_互相_从中(Ka23)|共同_分头_独自_互相_从中|Ka23|中华|nz|国家_行政区划(Di02)|国家_行政区划|Di02|创造|v|建立_设立_创立_命名(Hc05)|建立_设立_创立_命名|Hc05
儿女|ng|军人|n|军官_将士_军人_士兵(Ae10)|军官_将士_军人_士兵|Ae10|待|v|招呼_招待_对待(Hi08)|招呼_招待_对待|Hi08|null||null|null|null|null||null|null|null
儿女|ng|壮乡|n|null|null|null|载歌载舞|i|热闹_拥挤(Ef03)|热闹_拥挤|Ef03|，|w|null|null|null|，|w|null|null|null
儿女|ng|天山|ns|山_坡(Be04)|山_坡|Be04|迎|v|迎接_会面_陪伴(Hi05)|迎接_会面_陪伴|Hi05|《|w|null|null|null|新春|t|初期_年初(Ca07)|初期_年初|Ca07
儿女|ng|华夏|nz|国家_行政区划(Di02)|国家_行政区划|Di02|欢聚一堂|i|集合_分散(Ie10)|集合_分散|Ie10|的|u|的_然_所(Kd01)|的_然_所|Kd01|，|w|null|null|null
儿女|ng|华夏|nz|国家_行政区划(Di02)|国家_行政区划|Di02|都|d|都_只_不止_甚至(Ka07)|都_只_不止_甚至|Ka07|、|w|null|null|null|称|v|称_量_计算(Hj29)|称_量_计算|Hj29
儿女|ng|尧乡|ns|null|null|null|绘|v|绘画_制图_雕刻(Hg19)|绘画_制图_雕刻|Hg19|null||null|null|null|null||null|null|null
儿女|ng|江河|n|海洋_江河_溪涧(Be05)|海洋_江河_溪涧|Be05|心声|n|话(Dk11)|话|Dk11|全国|n|国家_行政区划(Di02)|国家_行政区划|Di02|传递|v|交_取_借_归还_交换(Hi27)|交_取_借_归还_交换|Hi27
儿女|ng|一代代|m|null|null|null|。|w|null|null|null|null||null|null|null|null||null|null|null
儿女|ng|中华|nz|国家_行政区划(Di02)|国家_行政区划|Di02|守|v|保卫_防守_警卫_驻扎(Hb04)|保卫_防守_警卫_驻扎|Hb04|亿万|m|多_少_稀少(Eb01)|多_少_稀少|Eb01|在|p|从事_参加_脱离(Hj19)|从事_参加_脱离|Hj19
儿女|ng|华夏|nz|国家_行政区划(Di02)|国家_行政区划|Di02|对|p|对于_关于(Kb04)|对于_关于|Kb04|了|u|吗_的话_罢了_了_哉(Kd05)|吗_的话_罢了_了_哉|Kd05|祖国|n|国家_行政区划(Di02)|国家_行政区划|Di02
儿女|ng|中华|nz|国家_行政区划(Di02)|国家_行政区划|Di02|的|u|的_然_所(Kd01)|的_然_所|Kd01|海内外|s|世界_社会_人间(Di01)|世界_社会_人间|Di01|爱国|a|政治_政体_专政(Di08)|政治_政体_专政|Di08
儿女|ng|中华|nz|国家_行政区划(Di02)|国家_行政区划|Di02|的|u|的_然_所(Kd01)|的_然_所|Kd01|所有|b|单_双_全部_部分(Eb02)|单_双_全部_部分|Eb02|大|d|大_中_小(Ea03)|大_中_小|Ea03
儿女|ng|中华|nz|国家_行政区划(Di02)|国家_行政区划|Di02|的|u|的_然_所(Kd01)|的_然_所|Kd01|海内外|s|世界_社会_人间(Di01)|世界_社会_人间|Di01|大|d|大_中_小(Ea03)|大_中_小|Ea03
儿女|ng|赤诚|a|诚实_刁滑_势利_真诚_虚伪(Ee05)|诚实_刁滑_势利_真诚_虚伪|Ee05|的|u|的_然_所(Kd01)|的_然_所|Kd01|着|u|下落_踪迹(Da23)|下落_踪迹|Da23|至爱|vn|null|null|null
儿女|ng|炎黄|j|国家_行政区划(Di02)|国家_行政区划|Di02|情感|n|感觉_感情(Df04)|感觉_感情|Df04|有|v|有_占有(Jd04)|有_占有|Jd04|之|u|来_去_来去(Hj63)|来_去_来去|Hj63
儿女|ng|中华|nz|国家_行政区划(Di02)|国家_行政区划|Di02|的|u|的_然_所(Kd01)|的_然_所|Kd01|了|u|吗_的话_罢了_了_哉(Kd05)|吗_的话_罢了_了_哉|Kd05|心声|n|话(Dk11)|话|Dk11
儿女|ng|当|p|恰当_失当(Ed49)|恰当_失当|Ed49|出生|v|生育_诞生_生长_繁殖(Ib01)|生育_诞生_生长_繁殖|Ib01|，|w|null|null|null|过|v|消磨_度过_经历(Hj03)|消磨_度过_经历|Hj03
儿女|ng|null|null|null|null|null|为|p|为_被_以_由(Kb05)|为_被_以_由|Kb05|null|null|null|null|null|老人|n|老人_成年人_老小(Ab02)|老人_成年人_老小|Ab02
儿女|ng|双|q|单_双_全部_部分(Eb02)|单_双_全部_部分|Eb02|。|w|null|null|null|null||null|null|null|null||null|null|null
儿女|ng|听|v|听_嗅(Fc05)|听_嗅|Fc05|叫|v|喊_叫(Fc10)|喊_叫|Fc10|电话|n|器具_设备(Ba05)|器具_设备|Ba05|爸爸|n|父_母_父母_父子(Ah04)|父_母_父母_父子|Ah04
儿女|ng|养|v|疗养_调养(Hj33)|疗养_调养|Hj33|，|w|null|null|null|米饭|n|饭_粥_锅巴(Br04)|饭_粥_锅巴|Br04|自己|r|和睦_不和_敌对(Ed33)|和睦_不和_敌对|Ed33
