目标词|左分词|右分词|左分词词义集合|右分词词义集合|左分词词义以及词义代码|左分词词义|左分词单层|左分词三层|右分词词义以及词义代码|右分词词义|右分词单层|右分词三层
中医|钻研|理论|分析_推敲_研究_考证(Hg14)|争论_辩论_议论(Hi41) 学说_学问_知识(Dk02)|分析_推敲_研究_考证(Hg14)|分析_推敲_研究_考证|H|Hg14|争论_辩论_议论(Hi41)|争论_辩论_议论|H|Hi41
中医|null|不|null|快_慢(Eb23) 重要_次要_不足道(Ed28) 有为_不成材(Ee19) 民主_专制_讲理_蛮横(Ee38) 不_没(Ka18) 传导_传播_流行(Ie01)|null|null|null|null|不_没(Ka18)|不_没|K|Ka18
中医|任|急诊室|放任_纵容(Hi48) 担负_承揽_担任_兼职(Hj24) 不论_只管(Kc10) 任命_任用_荫袭_撤职(Hc25) 数量单位(Dn08)|null|放任_纵容(Hi48)|放任_纵容|H|Hi48|null|null|null|null
中医|采用|中药|使用_沿用_借鉴(Hj28)|药品_维生素_补品(Br13)|使用_沿用_借鉴(Hj28)|使用_沿用_借鉴|H|Hj28|药品_维生素_补品(Br13)|药品_维生素_补品|B|Br13
中医|学习|null|学习_从师_模仿(Hg08)|null|学习_从师_模仿(Hg08)|学习_从师_模仿|H|Hg08|null|null|null|null
中医|的|专科班|真实_虚假_确实_虚妄(Ed01) 的_然_所(Kd01) 弓_箭_矛_盾_剑(Bo29)|null|的_然_所(Kd01)|的_然_所|K|Kd01|null|null|null|null
中医|以|内科|使用_沿用_借鉴(Hj28) 恰当_失当(Ed49) 向_背_在(Kb01) 为_被_以_由(Kb05) 依照_根据_趁(Kb07) 并且_况且(Kc02) 因为_所以(Kc09) 国家_行政区划(Di02)|科学_学科_学业(Dk03)|为_被_以_由(Kb05)|为_被_以_由|K|Kb05|科学_学科_学业(Dk03)|科学_学科_学业|D|Dk03
中医|传统|的|风俗_习惯_风气(Di14) 思想_感想(Df01)|真实_虚假_确实_虚妄(Ed01) 的_然_所(Kd01) 弓_箭_矛_盾_剑(Bo29)|风俗_习惯_风气(Di14)|风俗_习惯_风气|D|Di14|的_然_所(Kd01)|的_然_所|K|Kd01
中医|了|骨伤科|完全_彻底_半半拉拉(Ka06) 来着_过(Kd02) 啊_呢_喽(Kd03) 吗_的话_罢了_了_哉(Kd05) 开始_结束(Ig01)|null|吗_的话_罢了_了_哉(Kd05)|吗_的话_罢了_了_哉|K|Kd05|null|null|null|null
中医|过|null|消磨_度过_经历(Hj03) 成就_功劳_过失_功过(Da14) 来着_过(Kd02) 期满_到期_过期(Ie16) 经过_越过_渡河_拐弯(Hf06) 超过(Jb04) 支配_超越(Je09)|null|来着_过(Kd02)|来着_过|K|Kd02|null|null|null|null
中医|记|血液病|号码_记号_曲谱_标点符号(Dk04) 散文_传记_杂记(Dk26) 戏剧_唱腔_舞蹈_电影_镜头(Dk29) 趼子_痣_癍_疣(Dl04) 动量单位_复量单位(Dn09) 记得_忘记(Gb07) 挥笔_记录_留言_附笔(Hg11)|null|号码_记号_曲谱_标点符号(Dk04)|号码_记号_曲谱_标点符号|D|Dk04|null|null|null|null
中医|通常|壮|杰出_异常_普通(Ed04)|健康_孱弱(Eb37) 伟大_渺小(Ed20)|杰出_异常_普通(Ed04)|杰出_异常_普通|E|Ed04|健康_孱弱(Eb37)|健康_孱弱|E|Eb37
中医|对|治疗|单_双_全部_部分(Eb02) 正确_准确_错误(Ed12) 资料_文件(Dk17) 向_背_在(Kb01) 对于_关于(Kb04) 依照_根据_趁(Kb07) 搅拌_搀和_掭(Fa26) 数量单位(Dn08) 调查_审查_检查(Hc18) 招呼_招待_对待(Hi08) 问_答_对质(Hi18) 相投_巧合(Jc02) 看(Fc04)|医治_打针_开刀(Hg20)|对于_关于(Kb04)|对于_关于|K|Kb04|医治_打针_开刀(Hg20)|医治_打针_开刀|H|Hg20
