目标词|左分词|右分词|左分词词义集合|右分词词义集合|左分词词义以及词义代码|左分词词义|左分词单层|左分词三层|右分词词义以及词义代码|右分词词义|右分词单层|右分词三层
动摇|未|null|合格_象样(Ed05) 不_没(Ka18)|null|合格_象样(Ed05)|合格_象样|E|Ed05|null|null|null|null
动摇|null|不得|null|能够_不能_可以_不可(Gc02)|null|null|null|null|能够_不能_可以_不可(Gc02)|能够_不能_可以_不可|G|Gc02
动摇|不|是|快_慢(Eb23) 重要_次要_不足道(Ed28) 有为_不成材(Ee19) 民主_专制_讲理_蛮横(Ee38) 不_没(Ka18) 传导_传播_流行(Ie01)|正确_准确_错误(Ed12) 这个_那个_某个_各个_其他_何(Ed61) 连_凡是(Kc06) 润色_修改_修订(Hg18) 是_当做_比作(Ja01) 无关(Jd01)|不_没(Ka18)|不_没|K|Ka18|是_当做_比作(Ja01)|是_当做_比作|J|Ja01
动摇|能|null|能干_无能(Ee17) 力气_力量_能量(Dd14) 智慧_才能_能力_功夫(De04) 能够_不能_可以_不可(Gc02)|null|能干_无能(Ee17)|能干_无能|E|Ee17|null|null|null|null
动摇|不|null|快_慢(Eb23) 重要_次要_不足道(Ed28) 有为_不成材(Ee19) 民主_专制_讲理_蛮横(Ee38) 不_没(Ka18) 传导_传播_流行(Ie01)|null|不_没(Ka18)|不_没|K|Ka18|null|null|null|null
动摇|不|的|快_慢(Eb23) 重要_次要_不足道(Ed28) 有为_不成材(Ee19) 民主_专制_讲理_蛮横(Ee38) 不_没(Ka18) 传导_传播_流行(Ie01)|真实_虚假_确实_虚妄(Ed01) 的_然_所(Kd01) 弓_箭_矛_盾_剑(Bo29)|不_没(Ka18)|不_没|K|Ka18|的_然_所(Kd01)|的_然_所|K|Kd01
动摇|不|null|快_慢(Eb23) 重要_次要_不足道(Ed28) 有为_不成材(Ee19) 民主_专制_讲理_蛮横(Ee38) 不_没(Ka18) 传导_传播_流行(Ie01)|null|不_没(Ka18)|不_没|K|Ka18|null|null|null|null
动摇|不|的|快_慢(Eb23) 重要_次要_不足道(Ed28) 有为_不成材(Ee19) 民主_专制_讲理_蛮横(Ee38) 不_没(Ka18) 传导_传播_流行(Ie01)|真实_虚假_确实_虚妄(Ed01) 的_然_所(Kd01) 弓_箭_矛_盾_剑(Bo29)|不_没(Ka18)|不_没|K|Ka18|的_然_所(Kd01)|的_然_所|K|Kd01
动摇|一点|null|半_概数_若干(Dn05) －粉_－点_－粒(Bb02)|null|半_概数_若干(Dn05)|半_概数_若干|D|Dn05|null|null|null|null
动摇|开始|了|开端_末尾_结局(Da06) 开始_结束(Ig01)|完全_彻底_半半拉拉(Ka06) 来着_过(Kd02) 啊_呢_喽(Kd03) 吗_的话_罢了_了_哉(Kd05) 开始_结束(Ig01)|开始_结束(Ig01)|开始_结束|I|Ig01|吗_的话_罢了_了_哉(Kd05)|吗_的话_罢了_了_哉|K|Kd05
