目标词|左分词|右分词|左分词词义集合|右分词词义集合|左分词词义以及词义代码|左分词词义|左分词单层|左分词三层|右分词词义以及词义代码|右分词词义|右分词单层|右分词三层
单位|等|主办|等级_头衔(Di16) 等候_驱逐_收留_挽留(Hi07) 相同_相等_差不多(Jb01) 人_人民_众人(Aa01) 的_然_所(Kd01) 数量单位(Dn08)|主持_指挥_统率_执掌_管辖(Hc09)|等级_头衔(Di16)|等级_头衔|D|Di16|主持_指挥_统率_执掌_管辖(Hc09)|主持_指挥_统率_执掌_管辖|H|Hc09
单位|和|null|调解_屈服_降伏_讲和(Hi45) 猛烈_尖锐_柔和(Ed15) 数量(Dn03) 动量单位_复量单位(Dn09) 跟_替_把_比(Kb03) 和_或者(Kc01) 搅拌_搀和_掭(Fa26) 阅读_查阅_朗读_吟咏_背诵(Hg10) 唱歌_跳舞_演奏(Hh04)|null|和_或者(Kc01)|和_或者|K|Kc01|null|null|null|null
单位|本|的|总_分(Ed56) 命令_通知_报告(Dk14) 读物_书籍_版本_页张(Dk20) 立场_角度(Db08) 资本_利润_利息_债务(Dj04) 经常_向来_本来(Ka10) 千万_当然(Ka32) 依照_根据_趁(Kb07) 现在(Ca10) 数量单位(Dn08) 簿册_卡片_名帖(Bp18) 植株_茎_枝(Bh10) 这个_那个_某个_各个_其他_何(Ed61)|真实_虚假_确实_虚妄(Ed01) 的_然_所(Kd01) 弓_箭_矛_盾_剑(Bo29)|读物_书籍_版本_页张(Dk20)|读物_书籍_版本_页张|D|Dk20|的_然_所(Kd01)|的_然_所|K|Kd01
单位|机关|的|人造_自动(Eb34) 政府(Dm01) 计划_计策_手段(Df09) 事情_事件_事故(Da01)|真实_虚假_确实_虚妄(Ed01) 的_然_所(Kd01) 弓_箭_矛_盾_剑(Bo29)|人造_自动(Eb34)|人造_自动|E|Eb34|的_然_所(Kd01)|的_然_所|K|Kd01
单位|等|主办|等级_头衔(Di16) 等候_驱逐_收留_挽留(Hi07) 相同_相等_差不多(Jb01) 人_人民_众人(Aa01) 的_然_所(Kd01) 数量单位(Dn08)|主持_指挥_统率_执掌_管辖(Hc09)|等级_头衔(Di16)|等级_头衔|D|Di16|主持_指挥_统率_执掌_管辖(Hc09)|主持_指挥_统率_执掌_管辖|H|Hc09
单位|null|null|null|null|null|null|null|null|null|null|null|null
单位|先进|null|革命_反动_进步_落后(Ee37)|null|革命_反动_进步_落后(Ee37)|革命_反动_进步_落后|E|Ee37|null|null|null|null
单位|企事业|；|系统_种类_结构(Dd06) 事业_行业_工程(Di18)|null|系统_种类_结构(Dd06)|系统_种类_结构|D|Dd06|null|null|null|null
单位|的|名称栏|真实_虚假_确实_虚妄(Ed01) 的_然_所(Kd01) 弓_箭_矛_盾_剑(Bo29)|null|的_然_所(Kd01)|的_然_所|K|Kd01|null|null|null|null
单位|工作|上海|工作_劳动(Hj11) 职业_工作_活计(Di19) 职工_职员(Ae01)|城市_集镇_乡村(Cb25)|工作_劳动(Hj11)|工作_劳动|H|Hj11|城市_集镇_乡村(Cb25)|城市_集镇_乡村|C|Cb25
