目标词|左分词|右分词|左分词词义集合|右分词词义集合|左分词词义以及词义代码|左分词词义|左分词单层|左分词三层|右分词词义以及词义代码|右分词词义|右分词单层|右分词三层
开通|了|国际|完全_彻底_半半拉拉(Ka06) 来着_过(Kd02) 啊_呢_喽(Kd03) 吗_的话_罢了_了_哉(Kd05) 开始_结束(Ig01)|国家_行政区划(Di02)|吗_的话_罢了_了_哉(Kd05)|吗_的话_罢了_了_哉|K|Kd05|国家_行政区划(Di02)|国家_行政区划|D|Di02
开通|福州|两|首都_省会(Di03) 城市_集镇_乡村(Cb25)|多_少_稀少(Eb01) 基数_序数(Dn04) 半_概数_若干(Dn05) 范围_方面_环节(Dd05)|首都_省会(Di03)|首都_省会|D|Di03|多_少_稀少(Eb01)|多_少_稀少|E|Eb01
开通|null|市民|null|居民_侨民(Ad01)|null|null|null|null|居民_侨民(Ad01)|居民_侨民|A|Ad01
开通|null|null|null|null|null|null|null|null|null|null|null|null
开通|新|了|早_迟(Eb22) 新_新鲜(Eb28) 已经_方才_正在(Ka12)|完全_彻底_半半拉拉(Ka06) 来着_过(Kd02) 啊_呢_喽(Kd03) 吗_的话_罢了_了_哉(Kd05) 开始_结束(Ig01)|新_新鲜(Eb28)|新_新鲜|E|Eb28|吗_的话_罢了_了_哉(Kd05)|吗_的话_罢了_了_哉|K|Kd05
开通|批|的|按语_批语_引文_注解(Dk23) 剪_刻_砍_刮(Fa28) 数量单位(Dn08) 签字_盖章_批阅_签注(Hc16) 标注_标点(Hg13) 责备_批评_攻击(Hi21)|真实_虚假_确实_虚妄(Ed01) 的_然_所(Kd01) 弓_箭_矛_盾_剑(Bo29)|按语_批语_引文_注解(Dk23)|按语_批语_引文_注解|D|Dk23|的_然_所(Kd01)|的_然_所|K|Kd01
开通|公司|了|商店(Dm04)|完全_彻底_半半拉拉(Ka06) 来着_过(Kd02) 啊_呢_喽(Kd03) 吗_的话_罢了_了_哉(Kd05) 开始_结束(Ig01)|商店(Dm04)|商店|D|Dm04|吗_的话_罢了_了_哉(Kd05)|吗_的话_罢了_了_哉|K|Kd05
开通|将|国际|做_施展_合作_尝试(Hj12) 随即_即将_终于(Ka13) 跟_替_把_比(Kb03) 为_被_以_由(Kb05) 溜冰_游泳_下棋(Hh06) 军官_将士_军人_士兵(Ae10)|国家_行政区划(Di02)|随即_即将_终于(Ka13)|随即_即将_终于|K|Ka13|国家_行政区划(Di02)|国家_行政区划|D|Di02
开通|上海|了|城市_集镇_乡村(Cb25)|完全_彻底_半半拉拉(Ka06) 来着_过(Kd02) 啊_呢_喽(Kd03) 吗_的话_罢了_了_哉(Kd05) 开始_结束(Ig01)|城市_集镇_乡村(Cb25)|城市_集镇_乡村|C|Cb25|吗_的话_罢了_了_哉(Kd05)|吗_的话_罢了_了_哉|K|Kd05
开通|先后|了|时期_时间(Ca03) 次序_行列(Dd07)|完全_彻底_半半拉拉(Ka06) 来着_过(Kd02) 啊_呢_喽(Kd03) 吗_的话_罢了_了_哉(Kd05) 开始_结束(Ig01)|时期_时间(Ca03)|时期_时间|C|Ca03|吗_的话_罢了_了_哉(Kd05)|吗_的话_罢了_了_哉|K|Kd05
开通|近日|影片|过去_近来(Ca11)|戏剧_唱腔_舞蹈_电影_镜头(Dk29) 照相机_胶片(Bp15)|过去_近来(Ca11)|过去_近来|C|Ca11|戏剧_唱腔_舞蹈_电影_镜头(Dk29)|戏剧_唱腔_舞蹈_电影_镜头|D|Dk29
开通|们|了|人_人民_众人(Aa01)|完全_彻底_半半拉拉(Ka06) 来着_过(Kd02) 啊_呢_喽(Kd03) 吗_的话_罢了_了_哉(Kd05) 开始_结束(Ig01)|人_人民_众人(Aa01)|人_人民_众人|A|Aa01|吗_的话_罢了_了_哉(Kd05)|吗_的话_罢了_了_哉|K|Kd05
开通|系统|全省|头绪_条理(Db07) 范围_方面_环节(Dd05) 系统_种类_结构(Dd06) 全面_片面(Ed11)|国家_行政区划(Di02)|系统_种类_结构(Dd06)|系统_种类_结构|D|Dd06|国家_行政区划(Di02)|国家_行政区划|D|Di02
